Mars-scaled Solar Photon Irradiance from LISIRD...http://lasp.colorado.edu/lisird/whi_ref_spectra/
I resampled these to 1-nm intervals and converted to photons 
assuming that all of the light was at the center of the bin.
Wavelength [nm]	Spectral Irradiance [ph/cm2/s/nm]
534.5	2.207399476493678e14
535.5	2.206941731975166e14
536.5	2.2041629599928353e14
537.5	2.2008921649763678e14
538.5	2.198610003124696e14
539.5	2.197567853833799e14
540.5	2.197831357045173e14
541.5	2.1996075176891428e14
542.5	2.2027989006303444e14
543.5	2.2068239964977434e14
544.5	2.211829136923683e14
545.5	2.216672113185545e14
546.5	2.221055696610524e14
547.5	2.2262360359287212e14
548.5	2.2307899600444384e14
549.5	2.2339155295369447e14
550.5	2.23541390515838e14
551.5	2.2350130926889112e14
552.5	2.2337213532950066e14
553.5	2.232518308611412e14
554.5	2.2310437576969762e14
555.5	2.2292119988405403e14
556.5	2.2268160271117812e14
557.5	2.2243486571714197e14
558.5	2.2226090848576353e14
559.5	2.222851214151168e14
560.5	2.224672464977981e14
561.5	2.2270096936763278e14
562.5	2.2289995175893088e14
563.5	2.231581163707351e14
564.5	2.235186328781002e14
565.5	2.2398940670269366e14
566.5	2.245046764479798e14
567.5	2.250203669482189e14
568.5	2.254933237102357e14
569.5	2.2593196508634872e14
570.5	2.2635219409559103e14
571.5	2.268208457102801e14
572.5	2.2731706544974616e14
573.5	2.2779746241725797e14
574.5	2.2821585008137116e14
575.5	2.2855318060510578e14
576.5	2.288090310646688e14
577.5	2.290230586987943e14
578.5	2.2923268900989353e14
579.5	2.293009066176879e14
580.5	2.292018025599724e14
581.5	2.289874875545517e14
582.5	2.2870790998578712e14
583.5	2.2843108250609647e14
584.5	2.2812153590671528e14
585.5	2.277905427333542e14
586.5	2.2747489410273547e14
587.5	2.2720781013658106e14
588.5	2.269933801826424e14
589.5	2.269073173596278e14
590.5	2.2695925023255553e14
591.5	2.2707035014410962e14
592.5	2.2719594658198028e14
593.5	2.2735156410262675e14
594.5	2.275309119857346e14
595.5	2.2770699142701744e14
596.5	2.278720271352056e14
597.5	2.2801041647560144e14
598.5	2.2808957804985188e14
599.5	2.2809361642986406e14
600.5	2.2801825357880978e14
